"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","strahler","length","cum_length","out_dist","spi_min","spi_max","spi_mean","spi_sd","sti_min","sti_max","sti_mean","sti_sd","cti_min","cti_max","cti_mean","cti_sd"
4058570924,508638245,219.4,396.2,285.375,63.171,0.0054,429.4624,64.4146,153.2904,6,522.2739,35702.13,529526.4,0,126986,9236.275,26691.229,12,19673,1603.725,3738.9958,-390884000,1018565950,-131457810,417100000
4058604956,508333991,358.3,427.1,393.9547,16.8319,0.0054,0.4044,0.0497,0.0976,1,972.9365,972.9365,407323.2,0,37,4.32,8.2916,12,296,91.04,62.5478,-342919420,214584610,-183602580,140270620
4058574257,508876703,156.2,264.1,228.602,24.0355,0.0055,0.2193,0.0348,0.0527,1,717.8863,717.8863,598495.5,0,47,5.0784,9.2054,2,620,129.6471,122.4852,-370654560,34586616,-201068420,112911550
4058590088,507357940,49.9,57.4,52.4478,2.0709,0.0052,0.1421,0.0348,0.0412,1,310.1837,310.1837,196468.16,0,2,0.6087,0.7655,1,12,6.6957,2.9552,-166638080,230674740,-23184688,127658976
4058467830,507689647,42,74.7,62.9465,9.5468,0.0053,40.0396,1.7775,7.9032,1,1210.1854,1210.1854,313578.28,0,2742,88.4535,421.8419,1,1124,58.9884,155.506,-261446960,717650940,-34937528,185185650
4058560090,506465118,30.8,40.4,35.7722,2.6857,0.0051,0.1432,0.0208,0.0306,1,270.3464,270.3464,63760.83,0,5,0.5,1.0408,1,40,10.6944,10.2248,-173466910,191109860,-78783790,86821310
4058577696,506997521,1.9,3.9,2.7377,0.4767,0.0052,0.664,0.0597,0.132,1,582.5064,582.5064,174356.5,0,9,0.6615,1.6987,0,9,1.5077,1.5254,-138586020,405625920,8357301,148540500
4058623136,506561224,1.9,33,13.5313,9.5675,0.0051,0.2476,0.0326,0.0527,1,544.4178,544.4178,8418.725,0,5,1.4167,1.441,2,132,40.8333,30.848,-312779170,280423800,-122969816,137852400
4058578509,507917647,26.5,34.5,30.9638,2.2709,0.0053,21.5488,3.4907,7.4226,4,957.9206,10407.609,261213.98,0,592,69.2609,153.7804,0,167,19.9565,33.6027,-194863790,723806100,69673544,313250560
4058545409,507173161,32.7,35,33.85,1.15,0.0052,121.8403,60.9227,60.9175,5,56.4564,37352.023,448224.16,0,2077,1038.5,1038.5,2,102,52,50,-115225090,887448260,386111580,501336670
4058553432,507829419,478,539.8,506.9878,15.5993,0.0053,5.1898,0.9406,1.9461,3,517.5824,5007.7686,539337.44,0,876,121.2245,271.8726,7,1702,302.2041,465.1214,-344855780,497165540,-117983880,247809660
4058617083,508174552,143.6,145.6,144.6,0.7675,0.0054,8.8357,3.1922,4.2082,4,232.082,6632.2754,541613.75,0,157,45.1818,61.0586,2,43,12.4545,11.9191,-124073016,670226700,171849310,359064580
4058520436,506510279,1.2,3,1.5321,0.3705,0.0051,2235.592,192.3728,625.3873,7,579.0941,121062.26,45054.71,0,32711,2614.3086,8516.311,0,189,12.7778,39.5459,-115209270,1209203600,110115250,357956580
4058579778,508556173,140.5,148.1,143.9846,2.5732,0.0054,3723.9111,859.3,1568.8278,7,295.0758,222757.28,613927.25,0,107835,18101.154,34743.016,4,1444,192.3077,395.5674,-218857700,1246037000,174897500,572320100
